,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
869,AMZN,2020-07-27 00:00:00+00:00,3055.21,3098.0,3015.77,3062.0,4170492,3055.21,3098.0,3015.77,3062.0,4170492,0.0,1.0
870,AMZN,2020-07-28 00:00:00+00:00,3000.33,3077.0926,2995.76,3054.27,3126651,3000.33,3077.0926,2995.76,3054.27,3126651,0.0,1.0
871,AMZN,2020-07-29 00:00:00+00:00,3033.53,3039.1592,2996.77,3030.99,2974060,3033.53,3039.1592,2996.77,3030.99,2974060,0.0,1.0
872,AMZN,2020-07-30 00:00:00+00:00,3051.88,3092.0,3005.0,3014.0,6128265,3051.88,3092.0,3005.0,3014.0,6128265,0.0,1.0
873,AMZN,2020-07-31 00:00:00+00:00,3164.68,3246.82,3151.0,3244.0,8083369,3164.68,3246.82,3151.0,3244.0,8083369,0.0,1.0
874,AMZN,2020-08-03 00:00:00+00:00,3111.89,3184.0,3104.0,3180.51,5074663,3111.89,3184.0,3104.0,3180.51,5074663,0.0,1.0
875,AMZN,2020-08-04 00:00:00+00:00,3138.83,3167.24,3101.21,3101.21,4694294,3138.83,3167.24,3101.21,3101.21,4694294,0.0,1.0
876,AMZN,2020-08-05 00:00:00+00:00,3205.03,3213.5859,3127.3,3143.77,3930025,3205.03,3213.5859,3127.3,3143.77,3930025,0.0,1.0
877,AMZN,2020-08-06 00:00:00+00:00,3225.0,3247.47,3165.43,3194.36,3940602,3225.0,3247.47,3165.43,3194.36,3940602,0.0,1.0
878,AMZN,2020-08-07 00:00:00+00:00,3167.46,3240.81,3140.6726,3224.01,3936127,3167.46,3240.81,3140.6726,3224.01,3936127,0.0,1.0
879,AMZN,2020-08-10 00:00:00+00:00,3148.16,3172.51,3101.52,3170.31,3167274,3148.16,3172.51,3101.52,3170.31,3167274,0.0,1.0
880,AMZN,2020-08-11 00:00:00+00:00,3080.67,3159.22,3073.0,3113.2,3718057,3080.67,3159.22,3073.0,3113.2,3718057,0.0,1.0
881,AMZN,2020-08-12 00:00:00+00:00,3162.24,3174.385,3101.42,3108.0,3527229,3162.24,3174.385,3101.42,3108.0,3527229,0.0,1.0
882,AMZN,2020-08-13 00:00:00+00:00,3161.02,3217.5211,3155.0,3182.99,3149043,3161.02,3217.5211,3155.0,3182.99,3149043,0.0,1.0
883,AMZN,2020-08-14 00:00:00+00:00,3148.02,3178.2357,3120.0,3178.18,2751723,3148.02,3178.2357,3120.0,3178.18,2751723,0.0,1.0
884,AMZN,2020-08-17 00:00:00+00:00,3182.41,3194.97,3154.1775,3173.12,2675890,3182.41,3194.97,3154.1775,3173.12,2675890,0.0,1.0
885,AMZN,2020-08-18 00:00:00+00:00,3312.49,3320.0,3205.8187,3212.0,5345974,3312.49,3320.0,3205.8187,3212.0,5345974,0.0,1.0
886,AMZN,2020-08-19 00:00:00+00:00,3260.48,3315.9,3256.0001,3303.01,4185137,3260.48,3315.9,3256.0001,3303.01,4185137,0.0,1.0
887,AMZN,2020-08-20 00:00:00+00:00,3297.37,3312.62,3238.0,3252.0,3332478,3297.37,3312.62,3238.0,3252.0,3332478,0.0,1.0
888,AMZN,2020-08-21 00:00:00+00:00,3284.72,3314.3962,3275.39,3295.0,3575862,3284.72,3314.3962,3275.39,3295.0,3575862,0.0,1.0
889,AMZN,2020-08-24 00:00:00+00:00,3307.46,3380.315,3257.5608,3310.15,4666258,3307.46,3380.315,3257.5608,3310.15,4666258,0.0,1.0
890,AMZN,2020-08-25 00:00:00+00:00,3346.49,3357.4,3267.0,3294.99,3992842,3346.49,3357.4,3267.0,3294.99,3992842,0.0,1.0
891,AMZN,2020-08-26 00:00:00+00:00,3441.85,3451.7387,3344.5675,3351.11,6508743,3441.85,3451.7387,3344.5675,3351.11,6508743,0.0,1.0
892,AMZN,2020-08-27 00:00:00+00:00,3400.0,3453.0,3378.0,3450.05,4264795,3400.0,3453.0,3378.0,3450.05,4264795,0.0,1.0
893,AMZN,2020-08-28 00:00:00+00:00,3401.8,3433.3699,3386.5,3423.0,2896978,3401.8,3433.3699,3386.5,3423.0,2896978,0.0,1.0
894,AMZN,2020-08-31 00:00:00+00:00,3450.96,3495.0,3405.0,3408.99,4185885,3450.96,3495.0,3405.0,3408.99,4185885,0.0,1.0
895,AMZN,2020-09-01 00:00:00+00:00,3499.12,3513.87,3467.0,3489.58,3476407,3499.12,3513.87,3467.0,3489.58,3476407,0.0,1.0
896,AMZN,2020-09-02 00:00:00+00:00,3531.45,3552.25,3486.685,3547.0,3931476,3531.45,3552.25,3486.685,3547.0,3931476,0.0,1.0
897,AMZN,2020-09-03 00:00:00+00:00,3368.0,3488.41,3303.0,3485.0,8161113,3368.0,3488.41,3303.0,3485.0,8161113,0.0,1.0
898,AMZN,2020-09-04 00:00:00+00:00,3294.62,3381.5,3111.13,3318.0,8781754,3294.62,3381.5,3111.13,3318.0,8781754,0.0,1.0
899,AMZN,2020-09-08 00:00:00+00:00,3149.84,3250.845,3130.0,3144.0,6094205,3149.84,3250.845,3130.0,3144.0,6094205,0.0,1.0
900,AMZN,2020-09-09 00:00:00+00:00,3268.61,3303.175,3185.0,3202.99,5188675,3268.61,3303.175,3185.0,3202.99,5188675,0.0,1.0
901,AMZN,2020-09-10 00:00:00+00:00,3175.11,3349.89,3170.55,3307.2188,5330741,3175.11,3349.89,3170.55,3307.2188,5330741,0.0,1.0
902,AMZN,2020-09-11 00:00:00+00:00,3116.22,3217.3409,3083.98,3208.69,5093982,3116.22,3217.3409,3083.98,3208.69,5093982,0.0,1.0
903,AMZN,2020-09-14 00:00:00+00:00,3102.97,3187.39,3096.0,3172.9372,4529596,3102.97,3187.39,3096.0,3172.9372,4529596,0.0,1.0
904,AMZN,2020-09-15 00:00:00+00:00,3156.13,3175.02,3108.92,3136.16,4021535,3156.13,3175.02,3108.92,3136.16,4021535,0.0,1.0
905,AMZN,2020-09-16 00:00:00+00:00,3078.1,3187.238,3074.15,3179.99,4531189,3078.1,3187.238,3074.15,3179.99,4531189,0.0,1.0
906,AMZN,2020-09-17 00:00:00+00:00,3008.73,3029.432,2972.55,3009.25,6449050,3008.73,3029.432,2972.55,3009.25,6449050,0.0,1.0
907,AMZN,2020-09-18 00:00:00+00:00,2954.91,3037.8,2905.54,3031.74,8892580,2954.91,3037.8,2905.54,3031.74,8892580,0.0,1.0
908,AMZN,2020-09-21 00:00:00+00:00,2960.47,2962.0,2871.0,2906.5,6117925,2960.47,2962.0,2871.0,2906.5,6117925,0.0,1.0
909,AMZN,2020-09-22 00:00:00+00:00,3128.99,3133.99,3000.2,3033.835,6948816,3128.99,3133.99,3000.2,3033.835,6948816,0.0,1.0
910,AMZN,2020-09-23 00:00:00+00:00,2999.86,3126.999,2992.3759,3120.43,5652665,2999.86,3126.999,2992.3759,3120.43,5652665,0.0,1.0
911,AMZN,2020-09-24 00:00:00+00:00,3019.79,3069.3,2965.0,2977.79,5529392,3019.79,3069.3,2965.0,2977.79,5529392,0.0,1.0
912,AMZN,2020-09-25 00:00:00+00:00,3095.13,3101.54,2999.0,3054.86,4615202,3095.13,3101.54,2999.0,3054.86,4615202,0.0,1.0
913,AMZN,2020-09-28 00:00:00+00:00,3174.05,3175.04,3117.1684,3148.85,4224165,3174.05,3175.04,3117.1684,3148.85,4224165,0.0,1.0
914,AMZN,2020-09-29 00:00:00+00:00,3144.88,3188.26,3132.54,3175.39,3503398,3144.88,3188.26,3132.54,3175.39,3503398,0.0,1.0
915,AMZN,2020-09-30 00:00:00+00:00,3148.73,3212.88,3133.99,3141.14,4896101,3148.73,3212.88,3133.99,3141.14,4896101,0.0,1.0
916,AMZN,2020-10-01 00:00:00+00:00,3221.26,3224.0,3172.0,3208.0,4971922,3221.26,3224.0,3172.0,3208.0,4971922,0.0,1.0
917,AMZN,2020-10-02 00:00:00+00:00,3125.0,3195.7965,3123.0,3153.63,5613098,3125.0,3195.7965,3123.0,3153.63,5613098,0.0,1.0
918,AMZN,2020-10-05 00:00:00+00:00,3199.2,3202.53,3140.85,3145.84,3775332,3199.2,3202.53,3140.85,3145.84,3775332,0.0,1.0
919,AMZN,2020-10-06 00:00:00+00:00,3099.96,3182.0,3090.0,3165.0,5086857,3099.96,3182.0,3090.0,3165.0,5086857,0.0,1.0
920,AMZN,2020-10-07 00:00:00+00:00,3195.69,3200.0,3132.385,3135.0,4309439,3195.69,3200.0,3132.385,3135.0,4309439,0.0,1.0
921,AMZN,2020-10-08 00:00:00+00:00,3190.55,3233.2944,3174.99,3224.99,3174114,3190.55,3233.2944,3174.99,3224.99,3174114,0.0,1.0
922,AMZN,2020-10-09 00:00:00+00:00,3286.65,3288.99,3197.83,3210.0,4907871,3286.65,3288.99,3197.83,3210.0,4907871,0.0,1.0
923,AMZN,2020-10-12 00:00:00+00:00,3442.93,3496.24,3339.55,3349.94,8364198,3442.93,3496.24,3339.55,3349.94,8364198,0.0,1.0
924,AMZN,2020-10-13 00:00:00+00:00,3443.63,3492.38,3424.217,3467.99,5744697,3443.63,3492.38,3424.217,3467.99,5744697,0.0,1.0
925,AMZN,2020-10-14 00:00:00+00:00,3363.71,3464.88,3340.0,3447.0,5828916,3363.71,3464.88,3340.0,3447.0,5828916,0.0,1.0
926,AMZN,2020-10-15 00:00:00+00:00,3338.65,3355.88,3280.0,3292.01,5223448,3338.65,3355.88,3280.0,3292.01,5223448,0.0,1.0
927,AMZN,2020-10-16 00:00:00+00:00,3272.71,3399.6606,3160.0,3363.23,6474353,3272.71,3399.6606,3160.0,3363.23,6474353,0.0,1.0
928,AMZN,2020-10-19 00:00:00+00:00,3207.21,3329.0,3192.735,3299.61,5223626,3207.21,3329.0,3192.735,3299.61,5223626,0.0,1.0
929,AMZN,2020-10-20 00:00:00+00:00,3217.01,3266.0,3192.01,3222.28,4509678,3217.01,3266.0,3192.01,3222.28,4509678,0.0,1.0
930,AMZN,2020-10-21 00:00:00+00:00,3184.94,3233.875,3160.0,3212.5,4592736,3184.94,3233.875,3160.0,3212.5,4592736,0.0,1.0
931,AMZN,2020-10-22 00:00:00+00:00,3176.4,3198.75,3121.94,3189.87,4212005,3176.4,3198.75,3121.94,3189.87,4212005,0.0,1.0
932,AMZN,2020-10-23 00:00:00+00:00,3204.4,3205.33,3140.0,3191.0,3466687,3204.4,3205.33,3140.0,3191.0,3466687,0.0,1.0
933,AMZN,2020-10-26 00:00:00+00:00,3207.04,3282.9799,3153.3,3198.74,5901151,3207.04,3282.9799,3153.3,3198.74,5901151,0.0,1.0
934,AMZN,2020-10-27 00:00:00+00:00,3286.33,3291.66,3211.3,3224.94,4291047,3286.33,3291.66,3211.3,3224.94,4291047,0.0,1.0
935,AMZN,2020-10-28 00:00:00+00:00,3162.78,3264.02,3162.47,3249.3,5588330,3162.78,3264.02,3162.47,3249.3,5588330,0.0,1.0
936,AMZN,2020-10-29 00:00:00+00:00,3211.01,3257.25,3164.0,3201.27,6596529,3211.01,3257.25,3164.0,3201.27,6596529,0.0,1.0
937,AMZN,2020-10-30 00:00:00+00:00,3036.15,3167.004,3019.0,3157.75,8396081,3036.15,3167.004,3019.0,3157.75,8396081,0.0,1.0
938,AMZN,2020-11-02 00:00:00+00:00,3004.48,3079.705,2950.12,3061.74,7257350,3004.48,3079.705,2950.12,3061.74,7257350,0.0,1.0
939,AMZN,2020-11-03 00:00:00+00:00,3048.41,3074.9,2980.98,3018.53,4897880,3048.41,3074.9,2980.98,3018.53,4897880,0.0,1.0
940,AMZN,2020-11-04 00:00:00+00:00,3241.16,3244.85,3139.73,3159.99,6839041,3241.16,3244.85,3139.73,3159.99,6839041,0.0,1.0
941,AMZN,2020-11-05 00:00:00+00:00,3322.0,3366.8,3288.88,3319.97,5789285,3322.0,3366.8,3288.88,3319.97,5789285,0.0,1.0
942,AMZN,2020-11-06 00:00:00+00:00,3311.37,3322.0,3232.0,3304.64,4647330,3311.37,3322.0,3232.0,3304.64,4647330,0.0,1.0
943,AMZN,2020-11-09 00:00:00+00:00,3143.74,3289.0,3112.1057,3231.03,7190406,3143.74,3289.0,3112.1057,3231.03,7190406,0.0,1.0
944,AMZN,2020-11-10 00:00:00+00:00,3035.02,3114.0,3019.4828,3095.02,6590956,3035.02,3114.0,3019.4828,3095.02,6590956,0.0,1.0
945,AMZN,2020-11-11 00:00:00+00:00,3137.39,3139.145,3050.0,3061.78,4366923,3137.39,3139.145,3050.0,3061.78,4366923,0.0,1.0
946,AMZN,2020-11-12 00:00:00+00:00,3110.28,3175.88,3086.05,3159.95,4371208,3110.28,3175.88,3086.05,3159.95,4371208,0.0,1.0
947,AMZN,2020-11-13 00:00:00+00:00,3128.81,3141.7227,3085.39,3122.0,3762587,3128.81,3141.7227,3085.39,3122.0,3762587,0.0,1.0
948,AMZN,2020-11-16 00:00:00+00:00,3131.06,3142.7,3072.685,3093.2,3808676,3131.06,3142.7,3072.685,3093.2,3808676,0.0,1.0
949,AMZN,2020-11-17 00:00:00+00:00,3135.66,3189.25,3135.26,3183.5445,3444735,3135.66,3189.25,3135.26,3183.5445,3444735,0.0,1.0
950,AMZN,2020-11-18 00:00:00+00:00,3105.46,3140.0,3105.1,3134.0,2916836,3105.46,3140.0,3105.1,3134.0,2916836,0.0,1.0
951,AMZN,2020-11-19 00:00:00+00:00,3117.02,3125.0,3080.92,3105.31,3010270,3117.02,3125.0,3080.92,3105.31,3010270,0.0,1.0
952,AMZN,2020-11-20 00:00:00+00:00,3099.4,3132.89,3098.0456,3117.02,3380138,3099.4,3132.89,3098.0456,3117.02,3380138,0.0,1.0
